EPSG,ESRI,Oracle
,D_NAD_1983_HARN_Adj_WI_MN,
,D_NAD_1983_HARN_Adj_WI_MR,
,D_NAD_1983_HARN_Adj_WI_OC,
,D_NAD_1983_HARN_Adj_WI_ON,
,D_NAD_1983_HARN_Adj_WI_PK,
,D_NAD_1983_HARN_Adj_WI_PP_PC,
,D_NAD_1983_HARN_Adj_WI_PR,
,D_NAD_1983_HARN_Adj_WI_PT,
,D_NAD_1983_HARN_Adj_WI_RC,
,D_NAD_1983_HARN_Adj_WI_RK,
,D_NAD_1983_HARN_Adj_WI_RS,
,D_NAD_1983_HARN_Adj_WI_SC,
,D_NAD_1983_HARN_Adj_WI_SH,
,D_NAD_1983_HARN_Adj_WI_SK,
,D_NAD_1983_HARN_Adj_WI_SW,
,D_NAD_1983_HARN_Adj_WI_TA,
,D_NAD_1983_HARN_Adj_WI_TR,
,D_NAD_1983_HARN_Adj_WI_VI,
,D_NAD_1983_HARN_Adj_WI_VR,
,D_NAD_1983_HARN_Adj_WI_WA,
,D_NAD_1983_HARN_Adj_WI_WB,
,D_NAD_1983_HARN_Adj_WI_WD,
,D_NAD_1983_HARN_Adj_WI_WK,
,D_NAD_1983_HARN_Adj_WI_WP,
,D_NAD_1983_HARN_Adj_WI_WS,
,D_NAD_1983_HARN_Adj_WI_WW,
Nahrwan_1967,D_Nahrwan_1967,Nahrwan (Masirah Island)
,,Nahrwan (Saudi Arabia)
Naparima_1955,D_Naparima_1955,Naparima, BWI
Naparima_1972,D_Naparima_1972,Netherlands Bessel
,,New AGD 84
National_Geodetic_Network,,
NEA74_Noumea,D_NEA74_Noumea,
,D_Neptune_2000,
,D_Nereid_2000,
New_Zealand_Geodetic_Datum_1949,D_New_Zealand_1949,
New_Zealand_Geodetic_Datum_2000,,
NGO_1948,D_NGO_1948,
NGO_1948_Oslo,,
Nord_de_Guerre_Paris,D_Nord_de_Guerre,
Nord_Sahara_1959,D_Nord_Sahara_1959,
Nord_Sahara_1959_Paris,,
North_American_Datum_1927,D_North_American_1927,
North_American_Datum_1927_1976,,
North_American_Datum_1927_CGQ77,,
North_American_Datum_1983,D_North_American_1983,D_WGS_1984
,D_North_American_1983_CSRS98,
,D_North_American_1983_HARN,
,D_North_American_Michigan,
Nouvelle_Triangulation_Francaise,,NTF
Nouvelle_Triangulation_Francaise_Paris,,NTF (Paris meridian)
NSWC_9Z_2,,
,,NWGL 10
,D_NWL_9D,
,D_NZGD_2000,
,D_Oberon_2000,
Observatario,D_Observatario,Observatorio 1966
,D_Observatorio_Meteorologico_1965,
,D_Observ_Meteorologico_1939,
,,Old Egyptian
Old_Hawaiian,D_Old_Hawaiian,Old Hawaiian
,D_Oman,Oman
OSGB_1936,D_OSGB_1936,Ordnance Survey Great Brit
OSGB_1970_SN,,
OSNI_1952,D_OSNI_1952,
OS_SN_1980,D_OS_SN_1980,
Padang_1884,,
Padang_1884_Jakarta,,
Palestine_1923,D_Palestine_1923,
Pampa_del_Castillo,D_Pampa_del_Castillo,
,D_Pan_2000,
,D_Pandora_2000,
,D_Pasiphae_2000,
PDO_Survey_Datum_1993,D_PDO_1993,
Petrels_1972,D_Petrels_1972,
,D_Phoebe_2000,
,,Pico de las Nieves
